path,slug,title,date,expiryDate,publishDate,draft,permalink,kind,section
content/en/blog/butterbuttbutler.md,,Butterbuttbutler,2025-10-08T12:03:00-04:00,0001-01-01T00:00:00Z,2025-10-08T12:03:00-04:00,false,https://marclaliberte.photos/en/blog/2025/10/08/butterbuttbutler/,page,blog
content/en/blog/phoebe2.md,,Eastern Phoebe catches its meal,2025-07-30T11:01:37-04:00,0001-01-01T00:00:00Z,2025-07-30T11:01:37-04:00,false,https://marclaliberte.photos/en/blog/2025/07/30/phoebe2/,page,blog
content/fr/blog/phoebe2.md,,Moucherolle phébi attrape son repas,2025-07-30T11:01:37-04:00,0001-01-01T00:00:00Z,2025-07-30T11:01:37-04:00,false,https://marclaliberte.photos/blog/2025/07/30/phoebe2/,page,blog
content/fr/blog/hiddenSparrow.md,,Moineau furtif,2025-07-22T10:25:18-04:00,0001-01-01T00:00:00Z,2025-07-22T10:25:18-04:00,false,https://marclaliberte.photos/blog/2025/07/22/hiddensparrow/,page,blog
content/en/blog/hiddenSparrow.md,,Stealthy Sparrow,2025-07-22T10:25:18-04:00,0001-01-01T00:00:00Z,2025-07-22T10:25:18-04:00,false,https://marclaliberte.photos/en/blog/2025/07/22/hiddensparrow/,page,blog
content/fr/blog/thatItLawyer.md,,That IT Lawyer,2025-07-14T11:46:56-04:00,0001-01-01T00:00:00Z,2025-07-14T11:46:56-04:00,false,https://marclaliberte.photos/blog/2025/07/14/thatitlawyer/,page,blog
content/en/blog/thatItLawyer.md,,That IT Lawyer,2025-07-14T11:46:56-04:00,0001-01-01T00:00:00Z,2025-07-14T11:46:56-04:00,false,https://marclaliberte.photos/en/blog/2025/07/14/thatitlawyer/,page,blog
content/fr/blog/texturedRestoration.md,,AVANT/APRÈS,2025-07-13T10:06:10-04:00,0001-01-01T00:00:00Z,2025-07-13T10:06:10-04:00,false,https://marclaliberte.photos/blog/2025/07/13/texturedrestoration/,page,blog
content/en/blog/texturedRestoration.md,,BEFORE/AFTER,2025-07-13T10:06:10-04:00,0001-01-01T00:00:00Z,2025-07-13T10:06:10-04:00,false,https://marclaliberte.photos/en/blog/2025/07/13/texturedrestoration/,page,blog
content/fr/blog/LRMogrifyManualFix.md,,Solution de contournement pour un plugin Lightroom,2025-07-08T11:07:29-04:00,0001-01-01T00:00:00Z,2025-07-08T11:07:29-04:00,false,https://marclaliberte.photos/blog/2025/07/08/lrmogrifymanualfix/,page,blog
content/en/blog/LRMogrifyManualFix.md,,Workaround for a Lightroom Plugin,2025-07-08T11:07:29-04:00,0001-01-01T00:00:00Z,2025-07-08T11:07:29-04:00,false,https://marclaliberte.photos/en/blog/2025/07/08/lrmogrifymanualfix/,page,blog
content/en/blog/robin.md,,American Robin,2025-06-25T09:49:23-04:00,0001-01-01T00:00:00Z,2025-06-25T09:49:23-04:00,false,https://marclaliberte.photos/en/blog/2025/06/25/robin/,page,blog
content/fr/blog/robin.md,,Merle d'Amérique,2025-06-25T09:49:23-04:00,0001-01-01T00:00:00Z,2025-06-25T09:49:23-04:00,false,https://marclaliberte.photos/blog/2025/06/25/robin/,page,blog
content/en/blog/redSquirrel.md,,Dramatic american red squirrel,2025-06-20T10:22:08-04:00,0001-01-01T00:00:00Z,2025-06-20T10:22:08-04:00,false,https://marclaliberte.photos/en/blog/2025/06/20/redsquirrel/,page,blog
content/fr/blog/redSquirrel.md,,Écureuil roux dramatique,2025-06-20T10:22:08-04:00,0001-01-01T00:00:00Z,2025-06-20T10:22:08-04:00,false,https://marclaliberte.photos/blog/2025/06/20/redsquirrel/,page,blog
content/fr/blog/alanTuringRestored.md,,Alan Turing en Couleurs,2025-06-19T12:42:35-04:00,0001-01-01T00:00:00Z,2025-06-19T12:42:35-04:00,false,https://marclaliberte.photos/blog/2025/06/19/alanturingrestored/,page,blog
content/en/blog/alanTuringRestored.md,,Alan Turing in color,2025-06-19T12:42:35-04:00,0001-01-01T00:00:00Z,2025-06-19T12:42:35-04:00,false,https://marclaliberte.photos/en/blog/2025/06/19/alanturingrestored/,page,blog
content/fr/blog/wildlifeStore.md,,Collection Animalière en boutique,2025-06-18T11:54:33-04:00,0001-01-01T00:00:00Z,2025-06-18T11:54:33-04:00,false,https://marclaliberte.photos/blog/2025/06/18/wildlifestore/,page,blog
content/en/blog/wildlifeStore.md,,Wildlife Collection in store,2025-06-18T11:54:33-04:00,0001-01-01T00:00:00Z,2025-06-18T11:54:33-04:00,false,https://marclaliberte.photos/en/blog/2025/06/18/wildlifestore/,page,blog
content/fr/blog/kitesurf.md,,Kitesurf,2025-06-17T10:06:10-04:00,0001-01-01T00:00:00Z,2025-06-17T10:06:10-04:00,false,https://marclaliberte.photos/blog/2025/06/17/kitesurf/,page,blog
content/en/blog/kitesurf.md,,Kitesurf,2025-06-17T10:06:10-04:00,0001-01-01T00:00:00Z,2025-06-17T10:06:10-04:00,false,https://marclaliberte.photos/en/blog/2025/06/17/kitesurf/,page,blog
content/en/blog/dontshootthegeese.md,,Dont shoot the geese,2025-06-16T14:08:14-04:00,0001-01-01T00:00:00Z,2025-06-16T14:08:14-04:00,false,https://marclaliberte.photos/en/blog/2025/06/16/dontshootthegeese/,page,blog
content/fr/blog/dontshootthegeese.md,,Ne tirez pas sur les oies!,2025-06-16T14:08:14-04:00,0001-01-01T00:00:00Z,2025-06-16T14:08:14-04:00,false,https://marclaliberte.photos/blog/2025/06/16/dontshootthegeese/,page,blog
content/fr/blog/sunset2.md,,Coucher de Soleil à Cap-Chat,2025-06-13T08:16:43-04:00,0001-01-01T00:00:00Z,2025-06-13T08:16:43-04:00,false,https://marclaliberte.photos/blog/2025/06/13/sunset2/,page,blog
content/en/blog/sunset2.md,,Sunset in Cap-Chat,2025-06-13T08:16:43-04:00,0001-01-01T00:00:00Z,2025-06-13T08:16:43-04:00,false,https://marclaliberte.photos/en/blog/2025/06/13/sunset2/,page,blog
content/fr/blog/early20thcenturyRestoration.md,,Femmes dans les années 1900,2025-06-12T10:19:03-04:00,0001-01-01T00:00:00Z,2025-06-12T10:19:03-04:00,false,https://marclaliberte.photos/blog/2025/06/12/early20thcenturyrestoration/,page,blog
content/en/blog/early20thcenturyRestoration.md,,Ladies in the 1900s,2025-06-12T10:19:03-04:00,0001-01-01T00:00:00Z,2025-06-12T10:19:03-04:00,false,https://marclaliberte.photos/en/blog/2025/06/12/early20thcenturyrestoration/,page,blog
content/fr/blog/cormorant2.md,,Cormorans,2025-06-11T10:35:02-04:00,0001-01-01T00:00:00Z,2025-06-11T10:35:02-04:00,false,https://marclaliberte.photos/blog/2025/06/11/cormorant2/,page,blog
content/en/blog/cormorant2.md,,Cormorants,2025-06-11T10:35:02-04:00,0001-01-01T00:00:00Z,2025-06-11T10:35:02-04:00,false,https://marclaliberte.photos/en/blog/2025/06/11/cormorant2/,page,blog
content/en/blog/smokeLandscape.md,,Maritime landscape in smoke,2025-06-09T08:55:32-04:00,0001-01-01T00:00:00Z,2025-06-09T08:55:32-04:00,false,https://marclaliberte.photos/en/blog/2025/06/09/smokelandscape/,page,blog
content/fr/blog/smokeLandscape.md,,Paysage maritime en fumée,2025-06-09T08:55:32-04:00,0001-01-01T00:00:00Z,2025-06-09T08:55:32-04:00,false,https://marclaliberte.photos/blog/2025/06/09/smokelandscape/,page,blog
content/fr/blog/ladyFarmLandRestoration.md,,Dame à la ferme,2025-06-04T16:19:03-04:00,0001-01-01T00:00:00Z,2025-06-04T16:19:03-04:00,false,https://marclaliberte.photos/blog/2025/06/04/ladyfarmlandrestoration/,page,blog
content/en/blog/ladyFarmLandRestoration.md,,Lady at the farm,2025-06-04T16:19:03-04:00,0001-01-01T00:00:00Z,2025-06-04T16:19:03-04:00,false,https://marclaliberte.photos/en/blog/2025/06/04/ladyfarmlandrestoration/,page,blog
content/fr/blog/sandpipers.md,,Chevalier solitaire,2025-06-04T10:06:06-04:00,0001-01-01T00:00:00Z,2025-06-04T10:06:06-04:00,false,https://marclaliberte.photos/blog/2025/06/04/sandpipers/,page,blog
content/en/blog/sandpipers.md,,Solitary Sandpiper,2025-06-04T10:06:06-04:00,0001-01-01T00:00:00Z,2025-06-04T10:06:06-04:00,false,https://marclaliberte.photos/en/blog/2025/06/04/sandpipers/,page,blog
